name de_dust2
sky 0.50 0.63 0.77
fog 0.56 0.64 0.73 0.013
light -0.42 -0.86 -0.28
# Generated by the arena map importer from a source map.

# ---- solids ----
box -45.517 3.251 3.251 0.406 0.813 13.005 0.400 0.410 0.430
box -43.891 -0.813 -24.384 3.251 1.626 4.877 0.434 0.603 0.297
box -48.768 4.877 -22.758 13.005 0.813 4.064 0.434 0.603 0.297
box -45.517 4.877 -24.384 6.502 0.813 1.626 0.434 0.603 0.297
box -56.083 -0.813 -35.763 23.571 1.626 11.379 0.434 0.603 0.297
box -55.270 0.813 -35.763 3.251 3.251 3.251 0.592 0.504 0.269
box -53.645 4.877 -44.704 6.502 0.813 8.941 0.344 0.576 0.526
box -22.758 1.626 16.256 9.754 1.626 9.754 0.434 0.603 0.297
box -0.000 -1.626 16.256 13.005 1.626 9.754 0.434 0.603 0.297
box -0.000 -0.000 22.758 26.010 3.251 6.502 0.434 0.603 0.297
box -6.096 -6.502 -32.512 3.658 6.502 13.005 0.261 0.380 0.466
box -6.502 -0.000 -32.512 0.406 0.813 13.005 0.400 0.410 0.430
box -27.635 -1.626 -13.005 6.502 1.626 6.502 0.261 0.380 0.466
box -29.261 -3.658 -32.512 3.251 0.813 0.813 0.434 0.603 0.297
box -30.886 -4.064 -39.014 17.069 1.219 6.502 0.434 0.603 0.297
box -58.522 4.877 -45.517 11.379 0.813 0.813 0.434 0.603 0.297
box -6.502 -0.000 -41.046 0.406 0.813 8.534 0.400 0.410 0.430
box -6.096 -6.502 -40.640 19.101 6.502 8.128 0.261 0.380 0.466
box -6.502 -6.502 -52.019 19.507 3.251 6.502 0.261 0.380 0.466
box 3.251 -6.502 -48.768 4.877 8.128 1.626 0.434 0.603 0.297
box 13.005 0.813 -58.522 0.813 0.813 8.128 0.400 0.410 0.430
box 11.379 -3.251 -50.394 1.626 4.877 3.251 0.434 0.603 0.297
box 13.818 2.438 -61.366 12.192 0.813 0.406 0.434 0.603 0.297
box 13.818 1.626 -71.526 13.005 0.813 9.754 0.344 0.576 0.526
box 26.416 2.438 -58.928 5.690 0.813 0.406 0.434 0.603 0.297
box 26.822 -3.251 -59.334 4.877 5.690 0.813 0.434 0.603 0.297
